No. 	ITEM NAME	QUANTITY	UNIT PRICE	TOTAL PRICE
1	ESP32-S3-WROOM-1-N8	1	£4.21	£4.21
2	TP4056 Charging IC	1	£1.00	£5.00
3	TPL5111 power timer	1	£0.88	£0.88
4	AO3401 P-MOSFET	1	£0.16	£0.16
5	AP2112K-3.3 LDO	1	£0.19	£0.19
6	MAX98357A AUDIO AMP	1	£2.77	£2.77
7	USBLC6-2SC6 ESD	1	£0.33	£0.33
8	USB-C connector 16 pin	1	£1.65	£1.65
9	"0.96"" SSD1306 OLED BREAKOUT"	1	£1.49	£1.49
10	28mm 8OHM 2W speaker	1	£0.17	£0.99
11	12mm PIEZO BUZZER	1	£0.05	£0.99
12	Kalih Choc V1	1	£0.35	£3.48
13	EC11 Rotary Encoder	1	£0.90	£0.90
14	LiPo 803040 -1000mah	1	£3.79	£3.79
15	Resistor 100k	1	£0.07	£0.28
16	Resistor 10k	7	£0.07	£0.49
17	Resistor 5.1k	2	£0.07	£0.14
18	Resistor 4.7k	2	£0.07	£0.14
19	Resistor 1.2k	1	£0.07	£0.07
20	Resistor 1k	2	£0.07	£0.14
21	Capacitor 10u	6	£0.27	£1.62
22	Capacitor 1u	1	£0.07	£0.07
23	Capacitor 100n	6	£0.07	£0.42
24	LED RED	1	£0.34	£0.34
25	LED GREEN	1	£0.25	£0.25
26	6mm Tactile Button	2	£0.87	£1.74
27	PCB	1	£0.48	£2.40
28	Solder Paste Stencil	1	£5.37	£5.37
29	M3 Self Tapping Screws	4	£0.05	£2.47
30	3D printed Case and Keycap	1 set	n/a (small)	£10.50
31	Thin Wire	1	~£0.5	£4.99
32	Keychain	1	£0.13	£3.89
				
				
